year,country_code,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,quality_score
1986,DNK,BiocapTotGHA,11556044.07,47996.28361,2055435.84,10263144.22,1048057.015,0,24970677.42,3A
1986,DNK,EFConsPerCap,1.118545515,0.14919971,0.936273464,1.44708841,0.204912347,4.936860169,8.792879614,3A
1986,DNK,EFConsTotGHA,5720980.176,763105.8125,4788720.581,7401365.434,1048057.015,25250362,44972591.02,3A
1986,DNK,EFProdPerCap,2.259396267,0.009384061,0.297773135,1.915503307,0.204912347,4.139211031,8.826180147,3A
1986,DNK,EFProdTotGHA,11556044.07,47996.28361,1523008.388,9797148.443,1048057.015,21170657.74,45142911.93,3A
1987,DNK,AreaPerCap,0.644498041,0.025594965,0.105396679,1.946763988,0.058842841,0,2.781096515,3A
1987,DNK,AreaTotHA,3298076.798,130976.598,539344.2974,9962136,301115.2813,0,14231648.97,3A
1987,DNK,BiocapPerCap,2.032119781,0.009265926,0.401642138,2.003282796,0.185533072,0,4.631843714,3A
1987,DNK,BiocapTotGHA,10398925.48,47416.3374,2055315.196,10251358.56,949424.638,0,23702440.21,3A
1987,DNK,EFConsPerCap,1.157271032,0.155591786,0.838260178,1.418333362,0.185533072,4.854952203,8.609941634,3A
1987,DNK,EFConsTotGHA,5922079.66,796206.7034,4289611.865,7258008.643,949424.638,24844148.77,44059480.28,3A
1987,DNK,EFProdPerCap,2.032119781,0.009265926,0.266013773,1.817900696,0.185533072,4.028348109,8.339181357,3A
1987,DNK,EFProdTotGHA,10398925.48,47416.3374,1361266.901,9302706.481,949424.638,20614184.35,42673924.18,3A
1988,DNK,AreaPerCap,0.639375374,0.025676491,0.105290507,1.94480289,0.058842886,0,2.773988147,3A
1988,DNK,AreaTotHA,3275161.953,131526.2822,539344.2974,9962136,301419.1495,0,14209587.68,3A
1988,DNK,BiocapPerCap,2.208014764,0.009277194,0.401255989,1.997336368,0.20320764,0,4.819091955,3A
1988,DNK,BiocapTotGHA,11310423.02,47521.86806,2055409.703,10231235.59,1040918.933,0,24685509.11,3A
1988,DNK,EFConsPerCap,1.282906255,0.166455431,1.000103698,1.595382075,0.20320764,4.933580683,9.181635782,3A
1988,DNK,EFConsTotGHA,6571610.244,852657.9475,5122971.127,8172248.862,1040918.933,25271970.75,47032377.86,3A
1988,DNK,EFProdPerCap,2.208014764,0.009277194,0.271604654,1.973266077,0.20320764,3.804413555,8.469783883,3A
1988,DNK,EFProdTotGHA,11310423.02,47521.86806,1391278.526,10107936.97,1040918.933,19487879.95,43385959.26,3A
1989,DNK,AreaPerCap,0.634666249,0.025596918,0.105127966,1.941800627,0.058842886,0,2.766034646,3A
1989,DNK,AreaTotHA,3256066.249,131321.4023,539344.2974,9962136,301885.1805,0,14190753.13,3A
1989,DNK,BiocapPerCap,2.406285037,0.00923821,0.400463215,1.992046437,0.223097977,0,5.031130876,3A
1989,DNK,BiocapTotGHA,12345108.17,47395.34337,2054520.407,10219915.09,1144572.906,0,25811511.91,3A
1989,DNK,EFConsPerCap,1.474727732,0.181413282,0.984739876,1.46067831,0.223097977,4.816988089,9.141645267,3A
1989,DNK,EFConsTotGHA,7565883.967,930715.4207,5052069.938,7493805.376,1144572.906,24712882.35,46899929.96,3A
1989,DNK,EFProdPerCap,2.406285037,0.00923821,0.265741405,1.672678931,0.223097977,3.42039228,7.99743384,3A
1989,DNK,EFProdTotGHA,12345108.17,47395.34337,1363349.038,8581444.853,1144572.906,17547843.27,41029713.58,3A
1990,DNK,AreaPerCap,0.637299835,0.025590338,0.090385556,1.93773648,0.058842819,0,2.749855027,3A
1990,DNK,AreaTotHA,3276435,131563,464683,9962136,302518,0,14137335,3A
