country_code,category,indicator,value
QAT,se,happiness_rank,29
QAT,se,ggi_index,0.629
QAT,se,ggi_rank,127
ROU,se,gini_index,36
ROU,se,unemployment_pctg,4.84000015258789
ROU,se,happiness_score,6.07
ROU,se,happiness_rank,48
ROU,se,ggi_index,0.711
ROU,se,ggi_rank,63
RUS,se,gini_index,37.5
RUS,se,unemployment_pctg,5.73000001907349
RUS,se,happiness_score,5.648
RUS,se,happiness_rank,68
RUS,se,ggi_index,0.701
RUS,se,ggi_rank,75
RWA,se,gini_index,43.7
RWA,se,unemployment_pctg,1.35000002384186
RWA,se,happiness_score,3.334
RWA,se,happiness_rank,152
RWA,se,ggi_index,0.804
RWA,se,ggi_rank,6
SAU,se,unemployment_pctg,8.22000026702881
SAU,se,happiness_score,6.375
SAU,se,happiness_rank,28
SAU,se,ggi_index,0.59
SAU,se,ggi_rank,141
SEN,se,gini_index,40.3
SEN,se,unemployment_pctg,7.09999990463257
SEN,se,happiness_score,4.681
SEN,se,happiness_rank,111
SEN,se,ggi_index,0.682
SEN,se,ggi_rank,94
SRB,se,gini_index,36.2
SRB,se,unemployment_pctg,9.07999992370605
SRB,se,happiness_score,5.603
SRB,se,happiness_rank,70
SRB,se,ggi_index,0.73
SRB,se,ggi_rank,38
SYC,se,gini_index,46.8
SLE,se,gini_index,35.7
SLE,se,unemployment_pctg,4.59999990463257
SLE,se,happiness_score,4.374
SLE,se,happiness_rank,129
SLE,se,ggi_index,0.661
SLE,se,ggi_rank,114
SGP,se,unemployment_pctg,5.19000005722046
SGP,se,happiness_score,6.262
SGP,se,happiness_rank,34
SGP,se,ggi_index,0.707
SGP,se,ggi_rank,67
SVK,se,gini_index,25.2
SVK,se,unemployment_pctg,6.78999996185303
SVK,se,happiness_score,6.198
SVK,se,happiness_rank,38
SVK,se,ggi_index,0.693
SVK,se,ggi_rank,83
SVN,se,gini_index,24.2
SVN,se,unemployment_pctg,5.17000007629395
SVN,se,happiness_score,6.118
SVN,se,happiness_rank,44
SVN,se,ggi_index,0.784
SVN,se,ggi_rank,11
ZAF,se,gini_index,63
ZAF,se,unemployment_pctg,28.7399997711182
ZAF,se,happiness_score,4.722
ZAF,se,happiness_rank,106
ZAF,se,ggi_index,0.755
ZAF,se,ggi_rank,19
ESP,se,gini_index,34.7
ESP,se,unemployment_pctg,15.6700000762939
ESP,se,happiness_score,6.354
ESP,se,happiness_rank,30
ESP,se,ggi_index,0.746
ESP,se,ggi_rank,29
LKA,se,gini_index,39.8
LKA,se,unemployment_pctg,4.84000015258789
LKA,se,happiness_score,4.366
LKA,se,happiness_rank,130
LKA,se,ggi_index,0.676
LKA,se,ggi_rank,100
SDN,se,gini_index,34.2
SDN,se,unemployment_pctg,17.7099990844727
SUR,se,unemployment_pctg,8.64999961853027
SUR,se,ggi_index,0.695
SUR,se,ggi_rank,79
SWE,se,gini_index,28.8
SWE,se,unemployment_pctg,8.44999980926514
SWE,se,happiness_score,7.343
SWE,se,happiness_rank,7
SWE,se,ggi_index,0.822
SWE,se,ggi_rank,3
