country_code,year,gdp_us,gdp_growth_annual,gdp_per_capita_us,gdp_per_capita_growth_annual,gdp_per_capita_ppp,gdp_ppp
EST,2019,31471100656.2431,4.99644378512059,23723.306112848,4.6313358051262,39986.237100187,53045342274.737
EST,2020,NA,NA,NA,NA,NA,NA
SWZ,2010,4438778547.23269,3.79375496828149,4168.50517706719,3.07537274253593,7771.35994358043,8275231608.24235
SWZ,2011,4820499497.32134,2.247229761068,4496.60037883323,1.56099201990831,8057.5405392308,8637941299.35267
SWZ,2012,4886658806.33374,5.39130930653025,4527.66898764161,4.68276873132865,8266.68151600077,8922130160.04144
SWZ,2013,4597702903.12892,3.86227188218196,4230.3440556779,3.14067096890741,8708.79599202947,9465059127.18132
SWZ,2014,4422304974.7989,0.9131964947738,4038.55722839918,0.159172805985847,8796.98243959603,9632880507.98889
SWZ,2015,4062660889.82685,2.20332412642091,3679.79979948884,1.36804890768624,8811.69252717211,9728496264.4692
SWZ,2016,3816018484.52711,1.1007183940177,3425.55950940688,0.198603874566317,8705.91319305998,9698248002.45773
SWZ,2017,4402972999.53486,2.0265702359378,3914.61325245175,1.04971208586323,8408.45427175268,9457434167.51664
SWZ,2018,4665424249.06156,2.37160969391897,4106.1971526456,1.3410378343645,8728.79177951162,9917574660.75508
SWZ,2019,4471598726.6436,2.24391952452849,3894.67980685427,1.18072097105167,9003.36423142681,10337032575.0281
SWZ,2020,NA,NA,NA,NA,NA,NA
ETH,2010,29933790334.3418,12.5505383459308,341.554114905179,9.46059714812557,1028.32373569636,90122255176.7747
ETH,2011,31952763089.33,11.1782962271641,354.479575841347,8.09484989853611,1134.78452182361,102289393957.91
ETH,2012,43310721414.0829,8.64781163337416,467.077927241718,5.61658278843269,1213.5961156656099,112533091823.037
ETH,2013,47648211133.2183,10.5822700482672,499.531572059907,7.49986434435532,1283.5705569043,122434385173.204
ETH,2014,55612228233.5179,10.2574929610051,566.926466461984,7.21318728241347,1513.70340603175,148485604878.241
ETH,2015,64589334978.8013,10.3924630202334,640.541891313682,7.39145149516671,1657.344622083,167119104031.576
ETH,2016,74296618481.0882,9.43348265784402,717.124592933285,6.50967619654823,1878.81195655235,194651496419.484
ETH,2017,81770791970.982,9.56418964295607,768.522307579386,6.68450254520796,2021.56104599467,215094143811.298
ETH,2018,84269348327.3454,6.81614779681703,771.523813864476,4.05389404381921,2154.7546051196,235352121497.407
ETH,2019,95912590628.1412,8.3640856990789,855.760862280838,5.60451097117264,2319.70737799741,259989856897.58
ETH,2020,NA,NA,NA,NA,NA,NA
FIN,2010,249181190476.369,3.18595865407703,46459.9732548543,2.71496673450685,38986.2159635875,209096799360.739
FIN,2011,275243697751.011,2.54766483842627,51081.9976703127,2.07339631453335,40916.8385790274,220471055643.893
FIN,2012,258304834621.605,-1.39754572817782,47710.7902169415,-1.86559117436354,40873.0953326066,221285752810.968
FIN,2013,271285280621.373,-0.901696316194844,49878.0432444536,-1.35721561109078,41493.1416470359,225680035610.262
FIN,2014,274497230802.958,-0.364908156882066,50260.2998588958,-0.776108383146138,41757.4021894413,228058553146.46
FIN,2015,234440080998.273,0.543659211765487,42784.6983616432,0.213029419665261,42497.7049785783,232867491858.974
FIN,2016,240607907010.383,2.81145776663433,43784.2839622098,2.5163798952421,44934.4482077785,246928408039.55
FIN,2017,255232257243.53,3.27017227416624,46336.6632530127,3.02811174524855,47644.4283783986,262435707415.892
FIN,2018,275946554578.823,1.51758861140196,50030.8773106501,1.38302388903411,51318.3418366854,283047597358.784
FIN,2019,269296310180.392,1.1455357025294,48782.7884755091,1.05778961227449,53171.585085277,293523845548.446
FIN,2020,NA,NA,NA,NA,NA,NA
FRA,2010,2642609548930.36,1.94943762312663,40638.33400426,1.44701285037976,35930.3132944488,2336458699266.96
FRA,2011,2861408170264.6,2.19270063266654,43790.7320482019,1.69963010051958,37440.6386298685,2446475413051
FRA,2012,2683825225092.63,0.313134751077172,40874.7035053457,-0.171212877728749,37679.1217798605,2474003939353.38
FRA,2013,2811077725703.59,0.576326674771792,42592.9340943342,0.059905727929418597,39523.8539542181,2608522466158.15
FRA,2014,2852165760630.27,0.956183052371557,43011.2631028417,0.479080617230238,40144.0268283679,2662033396692.53
FRA,2015,2438207896251.84,1.1129123405747,36638.184929157,0.754024352327519,40849.9973780501,2718496736713.76
FRA,2016,2471285607081.72,1.09546440372048,37037.3741861219,0.829056664516742,42924.613626021,2864106383742.44
FRA,2017,2595151045197.65,2.29141999417021,38812.1610341682,2.07682248867806,44755.3252758511,2992537031512.78
FRA,2018,2787863958885.49,1.79286392711333,41631.0907389044,1.63852667485413,48136.2068705809,3223484993309.12
FRA,2019,2715518274227.45,1.50859403033795,40493.9285720456,1.36634401246955,50992.9611688192,3419582213776.4
FRA,2020,NA,NA,NA,NA,NA,NA
GAB,2010,14372591916.4792,7.08988731455126,8849.35529971507,3.44940874841105,14837.0718259198,24097481835.3494
GAB,2011,18210308748.2912,7.09175334258654,10809.6464505909,3.24610391795758,15638.6914694995,26345487003.7203
GAB,2012,17170465294.0332,5.25107691750407,9813.4777028244,1.33821343702425,15356.1915415561,26868451928.813
GAB,2013,17595745653.3676,5.63869900338696,9683.57629028674,1.72091797714238,15114.3691935162,27463881944.8317
GAB,2014,18203968001.8908,4.31496444107469,9663.42923977641,0.619862380246332,15370.9761530686,28955844877.1506
GAB,2015,14383107714.0388,3.8788993950789,7384.71587003183,0.471570201998503,14699.5662365533,28630139365.0076
GAB,2016,14023890620.3384,2.09144220829562,6984.45101873395,-0.968799964486564,14286.2537403689,28684983156.4358
GAB,2017,14929488770.7315,0.472642030911146,7230.39639268426,-2.29849959413875,15006.7640910411,30986311650.7557
GAB,2018,16862282413.8778,0.842950945596527,7956.62781558686,-1.74807681856322,15103.6090264939,32008701019.6228
GAB,2019,16874450215.1351,3.94494620364154,7767.01340440788,1.39466775004382,15611.6486204056,33917539948.0722
GAB,2020,NA,NA,NA,NA,NA,NA
GMB,2010,1543292392.54605,5.90833580968288,860.637873688125,2.78299345667685,2434.8912487673,4366237247.72453
GMB,2011,1409694553.90934,-8.13044422315659,762.761054131159,-10.8620039743524,2215.7511092395,4095033765.28765
GMB,2012,1415006238.09509,5.24156924630741,742.781137796627,2.10014035501909,2199.78814290614,4190620609.90576
GMB,2013,1375608956.10386,2.872768790327,700.514971960668,-0.202343345823479,2121.48639167384,4165986163.68023
GMB,2014,1229460601.92174,-1.40738249510954,607.428404115004,-4.34615116032873,2027.03134851532,4102796584.71164
GMB,2015,1378176868.31568,4.0580738039996,660.723571244322,0.974136240397243,2066.85935860117,4311179261.73183
GMB,2016,1484579844.37143,1.94335965478776,690.778886042938,-1.05824882916572,2068.74298831129,4446016237.15633
GMB,2017,1504909753.28746,4.8226112492757,679.756913965828,1.75661613322822,2072.6524500401,4588632823.22907
GMB,2018,1670670668.5939,7.23489033258579,732.717513775219,4.12107892452607,2210.63867300666,5040481659.59984
GMB,2019,1826073739.82522,6.05676574421921,777.811932084008,3.00277960141759,2321.23774758047,5449583787.42114
GMB,2020,NA,NA,NA,NA,NA,NA
GEO,2010,12243505582.6741,6.24948776787187,3233.29594347421,7.02738532732053,7564.06307014744,28642799807.4119
GEO,2011,15107441446.7833,7.3999998671419,4021.74330617286,8.26498872121428,8360.29720703065,31404963200.6754
GEO,2012,16488403076.3641,6.3690083063386,4421.81824228013,7.15537825393695,9826.05275341086,36640112634.8222
GEO,2013,17189551520.9811,3.62130535196276,4623.74572473419,3.93364640763909,10611.7741169939,39451053057.9766
GEO,2014,17627003454.7205,4.43192482309078,4739.18833846421,4.38290147136355,11575.547210705001,43054252353.1571
GEO,2015,14953950557.4406,3.02220738019703,4014.18594419329,2.86009424289855,12089.1694050447,45035492644.5473
GEO,2016,15141758566.7808,2.90643878002064,4062.16988757379,2.84490205450567,12858.4834001898,47930061166.6244
GEO,2017,16242916915.7203,4.84260322496586,4357.00093554628,4.82856985509574,13589.7073915159,50662483514.4009
GEO,2018,17599700090.762,4.86993477619603,4722.78778321766,4.91088036824362,14604.3844435456,54423954243.7106
GEO,2019,17477255545.6705,4.98235045944931,4697.7045759469,5.15637187856255,15655.6739063701,58245087399.129
GEO,2020,NA,NA,NA,NA,NA,NA
DEU,2010,3396354075663.73,4.17988249873657,41531.9341978689,4.33960677706354,38982.4263045636,3187863147138.46
DEU,2011,3744408602683.94,3.92519270463411,46644.776027968,5.86963573749217,42541.5310884096,3415020684916.05
DEU,2012,3527344944139.83,0.418497594217598,43858.3630551076,0.230160992711959,43359.6148271723,3487232707438.34
DEU,2013,3732743446218.92,0.437591303144671,46285.7640688407,0.163870562978019,44993.8927459315,3628559701800.76
DEU,2014,3883920155292.26,2.20954343134872,47959.9932737599,1.7843418861469,47011.5510935131,3807112936430.42
DEU,2015,3356235704119.75,1.49193152760772,41086.7296737253,0.617105353219898,47609.7810045816,3889081660716.44
DEU,2016,3467498002104.33,2.22999986782015,42107.5172703074,1.40810207548923,50579.6839299266,4165169650070.14
DEU,2017,3682602479929.42,2.60197600462604,44552.8193719078,2.21924285072537,53121.9876792716,4390904241849.53
DEU,2018,3963767526250.98,1.26799523225071,47810.5076706348,0.964114715764183,56689.0957331988,4699853812633.71
DEU,2019,3861123558039.21,0.555450887945668,46445.2491012508,0.280856539279142,57530.3030344638,4782655118573.17
DEU,2020,NA,NA,NA,NA,NA,NA
